Dandelions,14
Geranium,12
Red Dead Nettle,11
Dock,11
Sticky Weed,10
Speedwell,9
Garlic Mustard,8
Herb Robert,7
Thistle,6
Shepherd's Purse,6
Ramson,5
Grass,4
Daffodils,4
Costmary,4
Hazel,3
Groundsel,3
Bittercress,3
Tutsan,3
Willow,3
Viburnum,3
Forget Me Nots,2
Parsley,2
Mullein,2
Bluebells,2
Wood Aven,2
Hemlock,2
Cleavers,2
Nettle,2
Yarrow,2
Common Dogwood,2
Tansy,2
Sweet Violet,2
Lemonbalm,2
Black Leaved Elder,2
Fir Tree,1
Cow Parsley,1
Elderflower,1
Sticky Mouse-ear Chickweed,1
Snake's Head,1
Mugwort,1
Galium Mollugo,1
Violet,1
Honeysuckle,1
Japanese Sedge,1
Lily,1
Silver Birch,1
Darkwood,1
Bluegrass,1
Sweet Cicely,1
Dogwood,1
Cherry Blossom,1
Holly Leaved Hellebore,1
Dogweed,1
Rowan,1
Japanese Mugwort,1
Sea Buckthorn,1
Sycamore/Maple,1
Meadowsweet,1
Blackberry,1
Rubus,1
Climbing Rose,1
