Garlic Mustard,9
Dock,9
Groundsel,8
Daffodils,7
Purple Dead Nettle,7
Dandelions,7
Shepherd's Purse,6
Thistle,6
Sticky Weed,5
Buttercups,4
Speedwell,3
Dicots,3
Nettle,2
Snake's Head,2
Australian Silky Oak,2
Forget Me Nots,2
Bluebells,2
Spindle,2
Snowberry,2
Violet,2
Iris,2
Ramson,2
Hazel,1
Chinese Quince,1
Bluebell,1
Mint,1
Stinking Iris,1
Heath,1
Clovers,1
Grass,1
Poppies,1
Heaths,1
Mullein,1
Silver Birch,1
Wood Craves Bill,1
Bittercress,1
Geranium,1
Rose Bush,1
Hazel Tree,1
Daisy,1
Barberries,1
Ash Tree,1
Tansy,1
